Node_ID,Cluster_Label,Is_VP
0,11,0
1,2,0
2,6,0
3,8,0
4,5,0
5,8,0
6,13,0
7,6,0
8,4,0
9,14,0
10,7,0
11,4,0
12,9,0
13,0,0
14,7,0
15,7,0
16,8,0
17,10,0
18,14,0
19,2,0
20,0,0
21,8,0
22,9,0
23,4,0
24,14,0
25,10,0
26,10,0
27,5,0
28,12,0
29,12,0
30,14,0
31,13,0
32,4,0
33,8,0
34,8,0
35,7,0
36,8,0
37,5,0
38,7,0
39,14,0
40,1,0
41,14,0
42,4,0
43,2,0
44,1,0
45,0,0
46,1,0
47,2,0
48,2,0
49,6,0
50,0,0
51,4,0
52,13,0
53,9,0
54,6,0
55,14,0
56,10,0
57,5,0
58,7,0
59,1,0
60,10,0
61,14,0
62,4,0
63,10,0
64,0,0
65,14,0
66,12,0
67,13,0
68,3,0
69,11,0
70,13,0
71,14,0
72,6,0
73,2,0
74,12,0
75,13,0
76,0,0
77,13,0
78,5,0
79,9,0
80,9,0
81,2,0
82,8,0
83,14,0
84,0,0
85,7,0
86,14,0
87,7,0
88,2,0
89,13,0
90,14,0
91,10,0
92,9,0
93,1,0
94,14,0
95,8,0
96,10,0
97,4,0
98,5,0
99,10,0
100,7,0
101,8,0
102,7,0
103,0,0
104,6,0
105,3,0
106,7,0
107,7,0
108,9,0
109,5,0
110,2,0
111,12,0
112,14,0
113,13,0
114,1,0
115,1,0
116,2,0
117,0,0
118,6,0
119,7,0
120,10,0
121,13,0
122,8,0
123,11,0
124,10,0
125,4,0
126,13,0
127,0,0
128,10,0
129,7,0
130,5,0
131,0,0
132,10,1
133,5,0
134,14,0
135,10,0
136,10,0
137,3,0
138,10,0
139,5,0
140,13,1
141,14,0
142,7,0
143,3,0
144,9,0
145,6,0
146,13,0
147,0,0
148,7,0
149,7,0
150,0,0
151,3,0
152,5,0
153,14,0
154,13,0
155,14,0
156,8,0
157,10,0
158,14,1
159,12,0
160,3,0
161,7,0
162,10,0
163,3,0
164,14,0
165,9,0
166,6,0
167,6,0
168,10,0
169,14,0
170,3,0
171,4,0
172,9,0
173,7,0
174,9,0
175,5,0
176,7,0
177,0,0
178,0,0
179,1,0
180,9,0
181,3,0
182,13,0
183,10,0
184,6,0
185,6,0
186,0,0
187,12,0
188,7,0
189,13,0
190,0,0
191,5,0
192,5,0
193,14,0
194,5,0
195,13,0
196,9,0
197,11,0
198,1,0
199,10,0
200,8,1
201,5,0
202,11,0
203,14,0
204,7,0
205,11,0
206,1,0
207,2,0
208,4,0
209,5,0
210,10,0
211,0,0
212,0,0
213,11,0
214,14,0
215,8,0
216,7,0
217,0,0
218,8,0
219,7,0
220,8,0
221,4,0
222,10,0
223,10,0
224,14,0
225,1,0
226,11,0
227,0,0
228,0,0
229,6,0
230,0,0
231,2,0
232,13,0
233,11,1
234,11,0
235,8,0
236,8,0
237,5,0
238,0,0
239,1,0
240,3,0
241,3,0
242,5,0
243,12,0
244,10,0
245,3,0
246,14,0
247,14,0
248,7,0
249,10,0
250,2,0
251,11,0
252,7,0
253,10,0
254,10,0
255,2,0
256,10,0
257,6,0
258,11,0
259,13,0
260,2,0
261,10,0
262,1,0
263,14,0
264,8,0
265,10,0
266,1,0
267,5,0
268,13,0
269,14,0
270,1,0
271,0,0
272,2,0
273,0,0
274,5,0
275,5,0
276,3,0
277,13,0
278,6,0
279,1,0
280,7,0
281,6,0
282,9,0
283,4,0
284,13,0
285,5,0
286,9,0
287,10,0
288,8,0
289,14,0
290,11,0
291,14,0
292,7,0
293,6,0
294,6,0
295,0,0
296,12,0
297,1,0
298,7,0
299,6,0
300,12,0
301,6,0
302,0,0
303,4,0
304,3,0
305,8,0
306,7,0
307,10,0
308,12,0
309,10,0
310,12,0
311,4,0
312,2,0
313,9,0
314,12,0
315,5,0
316,3,0
